cid	size	cluster
Attaching	55	staple.v,rivet.v,hitch.v,tying.n,hook.v,gum.v,moor.v,tie.v,solder.v,shackle.v,bracket.v,yoke.v,handcuff.v,fuse.v,adhere.v,bind.v,strap.v,link.v,attach.v,glue.v,cement.v,mount.v,sew.v,untie.v,truss.v,secure.v,fix.v,weld.v,agglutinate.v,append.v,tether.v,attachment [item].n,paste.v,cinch.v,tape.v,fetter.v,pin.v,manacle.v,join.v,tack.v,lash.v,attachment [act].n,detach.v,anchor.v,plaster.v,fasten.v,nail.v,concatenate.v,wire.v,tack on.v,connect.v,affix.v,stick.v,bond.v,chain.v
Emotions_success_or_failure	4	satisfied.a,unfulfilled.a,dissatisfied.a,fulfilled.a
Fire_emergency_scenario	0	
Pre_getting	0	
Result_of_attempt_scenario	0	
Quantity	6	amount.n,quantity.n,degree.n,level.n,extent.n,number.n
Receiving_scenario	0	
Cause_to_start	21	set off.v,incite.v,spark.v,elicit.v,arouse.v,stimulate.v,bring about.v,instigate.v,stir up.v,actuate.v,trigger.v,prompt.v,motivate.v,provoke.v,call forth.v,produce.v,engender.v,kindle.v,generate.v,excite.v,create.v
Transitive_action	1875	rivet.v,saturate.v,gum.v,solder.v,purloin.v,unmoor.v,decouple.v,wet.v,execute.v,pilfer.v,product.n,execution.n,fabricate.v,steal.v,soak.v,manufacturing.n,guillotine.v,sew.v,tangle.v,manufacture.n,fix.v,put to death.v,agglutinate.v,guillotining.n,tether.v,cinch.v,overrun.v,fetter.v,douse.v,pin.v,lift.v,lash.v,snitch.v,anchor.v,moisturize.v,filch.v,fasten.v,production.n,producer.n,affix.v,beef up.v,bond.v,stick.v,pickpocket.n,lift.v,staple.v,souse.v,hitch.v,assembly line.n,moor.v,humidify.v,tie.v,dampen.v,shackle.v,tie.v,executioner.n,firing squad.n,handcuff.v,fuse.v,hangman.n,lifting.n,fabrication.n,bind.v,invade.v,straitjacket.v,pinch.v,drench.v,glue.v,unchain.v,cement.v,swipe.v,braid.v,make.v,manufacturer.n,hanging.n,moisten.v,headsman.n,secure.v,weld.v,manufacture.v,industrial.a,produce.v,attachment [item].n,paste.v,shackle.v,produce.v,hang.v,invader.n,tape.v,unhinge.v,invasion.n,manacle.v,end.v,tack.v,knot.v,maker.n,detach.v,hydrate.v,nail.v,chain.v,knock down.v,evacuate.v,shrill.v,turn on.v,produce.v,snarl.v,bone.v,establishment.n,release.v,yell.v,proliferation.n,squeak.v,shush.v,shriek.v,kill.v,generate.v,cut off.v,start.v,scalp.v,establish.v,splutter.v,ignite.v,clone.v,trumpet.v,whine.v,cut.v,take out.v,spark.v,hush.v,ruin.v,disarmament.n,flush.v,do what (to/with).v,stalk.v,stone.v,delouse.v,shut up.v,activate.v,thunder.v,influence.v,debone.v,induce.v,decontamination.n,eviscerate.v,adjust.v,lead.v,wheeze.v,defrost.v,let go.v,warble.v,deforest.v,blast.v,whoop.v,pit.v,yelp.v,skin.v,incite.v,turn off.v,set ablaze.idio,hush up.v,scream.v,set alight.idio,degrease.v,screech.v,expurgate.v,production.n,generation.n,rumble.v,save.v,unload.v,silence.v,wail.v,descale.v,set on fire.v,weed.v,quiet down.v,torch.v,rescue.v,expunge.v,sexually assault.v,block off.v,set up.v,quiet.v,emptying.n,found.v,terrorize.v,shut off.v,set fire.v,core.v,synthesise.v,void.v,raped.a,decontaminate.v,whimper.v,cut.v,kindle.v,seed.v,roar.v,disarm.v,snort.v,deactivate.v,denude.v,twitter.v,devein.v,trill.v,rattle.v,gut.v,sputter.v,multiplication.n,debug.v,squeal.v,creation.n,run off.v,squawk.v,light.v,boot.v,cleanse.v,titter.v,restore.v,catch on fire.v,contract.v,hook.v,scrape.v,corrode.v,give job.idio,subcontract.v,tie.v,tie up.v,mix.v,scratch.v,deployment.n,format.v,mar.v,rot.v,punish.v,crush.v,assembly.n,strap.v,construction.n,fold.v,piece together.v,slow.v,fuse.v,moisturize.v,free.v,key.v,deformation.n,vandalism.n,putrefy.v,disciplinary.a,append.v,nick.v,mold.v,justify.v,commingle.v,commission.n,reward.n,make.v,ablution.n,fashion.v,meld.v,sell short.v,fit together.v,punishment [act].n,chip.v,eliminate.v,lock up.v,roll.v,elimination.n,tack on.v,sign up.v,combine.v,dent.v,counterfeit.v,crumple.v,forge.v,score.v,warp.v,fake.v,tying.n,forgery [act].n,sabotage.v,ejection.n,forgery [entity].n,reward.v,fake.n,blend.v,tear.v,amalgamate.v,shorten.v,punishment [penalty].n,handcuff.v,adhere.v,merge.v,flatten.v,launch.v,erect.v,construction [entity].n,raise.v,damage.v,squash.v,recompense.v,set up.v,rip.v,form.v,untie.v,damage.n,squish.v,eject.v,scrunch.v,penalty.n,punitive.a,deploy.v,join.v,vandalise.v,discipline.v,curl.v,order.v,evacuate.v,unite.v,deface.v,destructive.a,attachment [act].n,get up.v,dent.v,plaster.v,unify.v,concatenate.v,rend.v,intermix.v,shape.v,bend.v,asphalt.v,answer.n,dress.v,rejoinder.n,coat.v,grunt.v,glaze.v,tie.v,gurgle.v,surface.v,release [event].n,backfire.n,drain.v,loop.v,paint.v,run out.v,rejuvenate.v,confiscate.v,wallpaper.v,hiss.v,hoot.v,reply.v,reaction.n,accredit.v,fill.v,crowd.v,wash.v,embellish.v,get down.v,counter-attack.v,bluster.v,strew.v,unfasten.v,howl.v,moan.v,come back.v,go through.v,designate.v,dislodge.v,answer.v,substitute.v,unfasten.v,protract.v,suffuse.v,babble.v,acknowledge.v,blockade.n,plank.v,abbreviate.v,pave.v,unzip.v,murmur.v,wax.v,purr.v,chant.v,publication.n,flood.v,chatter.v,barricade.v,yoke.v,unbuckle.v,drawl.v,refrigerate.v,varnish.v,gabble.v,mumble.v,panel.v,gibber.v,hold over.v,rap.v,jabber.v,road-block.n,remedy.v,lisp.v,drag out.v,sign.v,mouth.v,prolong.v,mutter.v,cut short.v,dash off.v,natter.v,uncork.v,prattle.v,nurse.v,move back.v,hire.v,replace.v,rant.v,dissolve.v,substitution.n,fasten.v,eat up.v,rasp.v,rave.v,shout.v,comeback.n,release.v,replacement.n,simper.v,sprinkle.v,distribute.v,swap out.v,sing.v,retort.v,list.v,pedal.v,slur.v,hold up.v,accessorize.v,counter-attack.n,caravan.v,stammer.v,clear.v,switch.v,cycle.v,spend.v,stutter.v,change.v,boat.v,whisper.v,respond.v,bike.v,blabber.v,put off.v,dispersion.n,response.n,extend.v,gild.v,canoe.v,reply.n,appoint.v,discard.v,exchange.v,gasp.v,seal.v,groan.v,counter.v,squander.v,dispersal.n,chronicle.v,accredited.a,keep.v,bicycle.v,concern.v,finger.v,douse.v,deplete.v,grate.v,untie.v,call name.v,growl.v,riposte.n,tap.v,put out.v,consume.v,disperse.v,scatter.v,balloon.v,rejoin.v,dissolution.n,retort.n,cordon off.v,tile.v,steaming.n,sever.v,jeopardise.v,baking.n,manicure.n,preservation.n,segregate.v,knock out.v,separate.v,split.v,variation.n,embalm.v,partition.n,compress.v,salt.v,type up.v,type out.v,take [picture].v,modify.v,facial.n,can.v,stewing.n,cure.v,print.v,mummify.v,abort.v,shift.v,frying.n,grilling.n,alteration.n,transformation.n,whip up.v,vary.v,bury.v,make.v,cooking.n,bake.v,fix.v,expunge.v,mummification.n,grill.v,strip.v,prepare.v,grilling.n,affront.n,modification.n,disable.v,paint.v,kill.v,boiling.n,sop.v,do away with.v,frying.n,dry.v,melting.n,offense.n,simmering.n,pickle.v,endanger.v,singe.v,total.v,write out.v,artist.n,barbecue.v,deep fry.v,reshape.v,cast.v,cook.v,roasting.n,put an end to.v,hose.v,roast.v,toasting.n,roll (into).v,conversion.n,sculpt.v,roasting.n,melt.v,blockade.v,fry.v,sear.v,cleanse.v,scorch.v,erase.v,dry out.v,compression.n,endangerment.n,write in.v,broiling.n,insult.v,imperil.v,alter.v,type.v,transform.v,bake.v,deform.v,cook up.v,cook.n,preparation.n,insult.n,type in.v,strike.v,offensive.a,condense.v,delete.v,plank.v,soap.v,cook.v,put together.v,arrest.v,incapacitate.v,unscrew.v,wound.v,cudgel.v,abandonment.n,fine.v,brush [hair].v,groom.v,lace.v,gesture.v,electrocute.v,rape.v,sting.v,unfreeze.v,electrocution.n,set.v,poisoning.n,nod.v,swipe.v,leave.v,maul.v,spew.v,belt.v,indurate.v,assemble.v,squash.v,strike.v,spatter.v,drain.v,twist.v,signal.n,jab.v,cap.v,cane.v,elbow.v,spray.v,zip.v,pummel.v,buckle.v,change.v,smack.v,splash.v,empty.v,thwack.v,brush [teeth].v,cuff.v,signal.v,abandoned.a,drip.v,sprinkle.v,dissect.v,form.v,beat up.v,abandon.v,flux.v,print up.v,knee.v,file.v,boil.v,squirt.v,torture.v,print out.v,flog.v,forget.v,clear.v,welt.v,crack.v,knock.v,clout.v,strike.n,break.v,poison.v,braise.v,motion.v,bash.v,buffet.v,wave.v,bruise.v,spill.v,dribble.v,transfix.v,pump.v,horsewhip.v,injure.v,pelt.v,splatter.v,convert.v,mutilate.v,create.v,drug.v,shoot down.v,gesticulate.v,turn.v,slap.v,plait.v,solidify.v,biff.v,maim.v,fracture.v,make.v,impale.v,flagellate.v,flogging.n,gash.v,lash.v,preserve.v,replica.n,siege.n,show.v,aggrandizement.n,tweak.v,throw together.v,encirclement.n,promote.v,merger.n,invest.v,pair.v,embalming.n,motor.v,fold.v,operation.n,paddle.v,evaporate.v,utilise.v,parachute.v,rip up.v,hit.v,punt.v,fragment.v,shave.v,raft.v,lengthen.v,beleaguer.v,adjustment.n,manicure.v,row.v,skate.v,pass.v,sledge.v,shred.v,rouse.v,add.v,consolidate.v,tack.v,downing.n,hold.v,taxi.v,pen.v,jumble.v,toboggan.v,spin.v,cruise.v,tear up.v,twirl.v,shroud.v,combination.n,drive.v,break apart.v,ride.v,dissolve.v,shake.v,vibrate.v,sail.v,break.v,swing.v,duplication.n,immure.v,fly.v,tear.v,seesaw.v,pick off.v,rock.v,enlargement.n,photocopy.v,constrain.v,compound.v,turn.v,replicate.v,rotate.v,awaken.v,include.v,duplicate.v,besiege.v,curtail.v,squeeze.v,embed.v,calibrate.v,swirl.v,expansion.n,flux.v,roll.v,inflate.v,hide.v,push.n,smash.v,wave.v,besiegement.n,juggle.v,floss.v,jiggle.v,contraction.n,insert.v,admix.v,shatter.v,wiggle.v,run through.v,inject.v,utilisation.n,implant.v,photocopy.n,calibration.n,immerse.v,investment.n,enlarge.v,obligate.v,hang.v,point.v,thaw.v,rip.v,load.v,demonstrate.v,melt.v,cleave.v,tweak.n,break up.v,attach.v,shiver.v,move.v,bind.v,apply.v,step up.v,chip.v,pledge.v,reproduce.v,bring together.v,deposit.v,siege.v,break down.v,rust.v,mask.v,pluck.v,avail oneself.v,tarnish.v,conflate.v,operational.a,augmentation.n,commit.v,defrost.v,charge.v,reduplicate.v,conceal.v,coalesce.v,operate.v,present.v,rapist.n,splinter.v,require.v,depict.v,dilate.v,oblige.v,rape.n,use.n,expand.v,lump.v,push.v,growth.n,freeze.v,charge.n,author.v,glue.v,weld.v,bulwark.v,reparations.n,publish.v,incarcerate.v,damages.n,life.n,overthrow.n,imprison.v,lay-off.n,revolt.n,take over.v,fine.n,topple.v,throne.v,advance.v,election.n,enthrone.v,coronate.v,terminate.v,crown.v,vest.v,install.v,cool.v,jail.v,firing.n,revolutionary.n,independence.n,fire.v,rising.n,amerce.v,freedom.n,heat.v,dismissal.n,ouster.n,restart.v,appear.v,warm.v,delay.v,discharge.v,shower.v,revive.v,mulct.v,defer.v,the sack.n,herd.v,give the boot.v,interruption.n,sack.v,termination.n,resume.v,ticket.n,buttress.v,ticket.v,downsize.v,imprisonment.n,interrupt.v,wash.v,shitcan.v,put away.v,reinstate.v,brace.v,time.n,move up.v,uninterrupted.a,lay off.v,assemble.v,let go.v,lave.v,beckon.v,incarceration.n,ring.v,do something (to/with).v,do.v,postpone.v,build.v,double.v,weed.v,get even.v,close.v,embezzler.n,lift.v,stealing.n,shave.v,take.v,slash.v,retaliation.n,rustle.v,originate.v,retaliate.v,expurgate.v,mature.v,embezzlement.n,develop.v,withdrawal.n,pioneer.v,vengeful.a,stolen.a,gains.n,wash.v,vindictive.a,roust.v,invent.v,discover.v,coin.v,rub.v,heist.n,withdraw.v,coinage.n,amputate.v,invention.n,cut.v,discovery.n,discoverer.n,abstract.v,perfect.v,originator.n,avenger.n,disgorge.v,inventor.n,retributive.a,blow up.v,flush.v,pioneer.n,get back (at).v,eviction.n,pioneering.a,retributory.a,liquefy.v,rinse.v,find.v,purge.v,invention artifact.n,flog.v,scrape.v,pickpocket.v,excise.v,extraction.n,revenger.n,peculation.n,file.v,revengeful.a,dust.v,improve.v,snatch.v,snatch.n,expunge.v,make.v,rip.v,blow.v,remove.v,disseminate.v,larceny.n,break out.v,blare.v,bag.v,blast.v,expel.v,reparation.n,detonate.v,unload.v,retribution.n,removal.n,drop.v,misappropriation.n,detonation.n,prise.v,create.v,revenge.v,revenge.n,pluck.v,affront.v,tear.v,pass on.v,empty.v,advance.v,clang.v,swipe.v,button.v,improved.a,strip.v,distribution.n,explode.v,modernization.n,heat up.v,expulsion.n,avenge.v,plan.v,cool down.v,warm up.v,skim.v,vengeance.n,restitution.n,creak.v,overheat.v,strew.v,reheat.v,evict.v,chill.v,oust.v,sanction.n,open.v,extract.v,payback.n,purge.n,evacuation.n,cop.v,pedicure.n,offend.v,shampoo.v,spread.v,burble.v,boil down.v,toss.v,anhydrate.v,crash.v,tug.v,spin.v,chirp.v,nudge.v,throw.v,synopsis.n,enrich.v,drone.v,rap.v,thrust.v,bang.v,pitch.v,sum up.v,slam.v,slide.v,detach.v,cast.v,lower.v,thud.v,exercise.v,click.v,press.v,summarize.v,cluck.v,scourge.v,scoot.v,shut up.v,reprocess.v,bleat.v,rattle.v,hurt.v,confine.v,bellow.v,graze.v,draw.v,thump.v,shove.v,put together.v,translation.n,caning.n,clink.v,hurl.v,catapult.v,lash.n,coo.v,chirrup.v,reprocessing.n,dehydrate.v,construct.v,chafe.v,haul.v,translate.v,dye.v,bark.v,stain.v,application.n,bawl.v,clatter.v,strike.v,restrict.v,employment.n,smack.v,unhook.v,lock.v,pull.v,etch.v,croak.v,drive.v,cane.v,treat.v,unhitch.v,clang.v,fling.v,enrichment.n,outline.v,run.v,clash.v,slap.v,force.v,collide.v,push.v,cackle.v,plow.v,bathe.v,croon.v,move.v,jab.v,amends.n,hit.v,chuck.v,concoct.v,galvanize.v,bray.v,process.v,rustle.v,weaponize.v,chuckle.v,development.n,ram.v,run.v,weaponization.n,babble.n,falsify.v,tie.v,bombard.v,develop.v,drag.v,cry.v,crow.v,reduction.n,yank.v,bring to attention.v,misappropriate.v,development.n,blunt.v,array.v,thieving.a,expend.v,bracket.v,revolt.v,dethrone.v,yoke.v,poach.v,depose.v,cutpurse.n,master.v,represent.v,overthrow.v,revolution.n,light-fingered.a,uprising.n,char.v,say.v,nick.v,protege.n,contact.n,add.v,teach.v,password.n,communication [act].n,reassurance.n,educational.a,talk.v,pilferage.n,exhaust.v,insurrection.n,counter-offensive.n,shoplift.v,use up.v,theft.n,connect.v,elect.v,draw.v,coup.n,rebellion.n,graduate.n,oust.v,shoplifting.n,shoplifter.n,instruct.v,convey.v,enhance.v,pilfering.n,mutiny.n,stealer.n,training.n,codeword.n,cram.v,instruction.n,link.v,oxidize.v,dull.v,share.v,snatch.v,truss.v,embezzle.v,crank.v,snatcher.n,mutiny.v,thieve.v,thief.n,flog.v,education.n,reassure.v,stew.v,join.v,devour.v,communication [entity].n,exhibit.v,thieving.n,wire.v,summons.v,signal.v,mount.v,pilferer.n,present[medical].v,sharpen.v,fracture.v,steep.v,drizzle.v,utter.v,pile.v,heap.v,take on.v,put over.v,pump.v,infect.v,commission.v,launch.n,snap.v,jam.v,fire.n,plant.v,fire.v,scatter.v,butter.v,adorn.v,blanch.v,reschedule.v,brush.v,hang.v,hire.n,anoint.v,coddle.v,fire off.v,splash.v,broil.v,spatter.v,cram.v,brown.v,cover.v,scald.v,inspissate.v,load.v,sign.v,thicken.v,smear.v,write down.v,delay [duration].n,plaster.v,dust.v,comb.v,limit.v,resuscitate.v,delay.n,inject.v,clot.v,dab.v,spray.v,undo.v,splatter.v,jell.v,retain.v,thin.v,drape.v,put together.v,pack.v,soften.v,sow.v,give.v,wax.v,seed.v,congeal.v,squirt.v,curdle.v,sprinkle.v,harden.v,daub.v,say.v,down.v,shoot.v,spread.v,organize.v,make arrangements.idio,stuff.v,rend.v,wrap.v,set up.v,coagulate.v,parboil.v,launch.v,shower.v,assailant.n,harass.v,drive-by.n,badger.v,safire.n,con.v,SAF.n,educate.v,segment.v,airstrike.n,defraud.v,rehabilitative.a,microwave.v,small arms fire.n,cheat.v,saute.v,fire.n,bully.v,dice.v,heal.v,flatter.v,cajole.v,bombardment.n,block.v,boil.v,chop.v,treat.v,cure.v,slice.v,onset.n,dehumidify.v,rive.v,tutee.n,remedy.n,rehabilitate.v,pare.v,manipulate.v,school.v,split.v,roast.v,rehabilitation.n,assault.n,make off (with).v,alleviation.n,fry.v,trick.v,learn.v,incurable.a,cube.v,ease.v,cooking.n,attack.v,abstraction.n,therapy.n,steam.v,incursion.n,curative.a,charge.v,healer.n,toast.v,strike.n,take.v,grind.v,offensive.n,curable.a,assault.v,make up.v,hustle.v,schoolteacher.n,train.v,palliative.n,develop.v,seize.v,pulverize.v,treatment.n,crumble.v,convene.v,fall (upon).v,charge.n,cut.v,bombing.n,onslaught.n,dupe.v,cure.n,lay (into).v,mill.v,synthesis.n,ambush.v,fool.v,baking.n,storm.v,mince.v,jump.v,arrangement.n,curative.n,bomb.v,assail.v,schoolmistress.n,simmer.v,raid.v,commandeer.v,flake.v,ambush.n,development.n,set (upon).v,assemble.v,alleviate.v,desiccate.v,palliate.v,arrange.v,tutor.v,schoolmaster.n,name.v,dry.v,grill.v,raid.n,coach.v,grab.v,abscond (with).v,hit.v,seizure.n,offensive.a,sliver.v,palliation.n,crush.v,attacker.n,cover.v,bring together.v,infiltrate.v,strike.v,blackmail.v,carve.v,infiltration.n,gather.v,lure.v,therapeutic.a,fillet.v,collect.v,deceive.v,take apart.v,attack.n,palliative.a,reduce.v,crunch.v,smear.v,extradite.v,wind.v,shred.v,stand.v,shrink.v,masticate.v,stash.v,copy.n,reinforce.v,mastication.n,stow.v,curl.v,stuff.v,bludgeon.v,tuck.v,boil.v,wrap.v,burn.v,bag.v,chew.v,billet.v,give try.idio,weaken.v,bin.v,massage.v,bottle.v,bayonet.v,stretch.v,grate.v,archive.v,spear.v,box.v,punch.v,cage.v,decrease.v,magnification.n,crate.v,batter.v,file.v,garage.v,pocket.v,diminish.v,fortify.v,shelve.v,stable.v,hammer.v,perch.v,kick.v,reduction.n,sit.v,club.v,growth.n,blow up.v,daub.v,cut.v,mash.v,drizzle.v,pulp.v,dab.v,drape.v,narrow.v,brush.v,claw.v,swell.v,dust.v,heap.v,jam.v,cut.n,rub.v,smash.v,coil.v,strengthen.v,cram.v,stab.v,shower.v,pot.v,whip.v,sheathe.v,beat.v,warehouse.v,shoulder.v,slice.v,increase.v,stick.v,mold.v,bestow.v,hurt.v,put.v,raise.v,package.v,employ.v,plunge.v,duplicate.n,grow.v,arrange.v,butt.v,emplace.v,crush.v,twist.v,enclose.v,copy.v,hit.v,swell.v,implanted.a,stone.v,gag.v,widen.v,chop.v,use.v,camouflage.v,magnify.v,clone.n,try.v,break.v,knife.v,extradition.n,lecturer.n,euthanize.v,murderer.n,suicide bomber.n,fire.v,dispatch.v,euthanasia.n,silence.v,teacher.n,butchery.n,homicide.n,slaying.n,liquidator.n,indicate.v,kamikaze [person].n,exterminate.v,study.v,terminate.v,eliminate.v,pogrom.n,attract.v,murder.n,regicide.n,rake.v,immolation.n,deadly.a,exchange.v,part.v,suicide.n,suicide attacker.n,bisect.v,impel.v,annihilate.v,signature.n,partition.v,lift.v,lethal.a,kamikaze [attack].n,wrench.v,liquidation.n,suffocation.n,roll.v,annihilation.n,extermination.n,change.v,launch.v,genocide.n,garrotte.v,killer.n,divide.v,assassin.n,pupil.n,lynch.v,do in.v,slam.v,slaughter.n,take (someone's) life.idio,signatory.n,punt.v,accede.v,entertain.v,shooting.n,section.v,jerk.v,liquidate.v,arrest.v,propel.v,murder.v,can.v,assassinate.v,killing.n,take out.v,sign on.v,divert.v,slaughterer.n,asphyxiate.v,matricide.n,drown.v,destroy.v,suicide attack.n,suicide.v,blood-bath.n,suicide bombing.n,crucify.v,transfer.v,decapitate.v,tutor.n,crucifixion.n,decapitation.n,slayer.n,amuse.v,drop.v,kill.v,holocaust.n,slay.v,carnage.n,starve.v,butcher.v,torment.v,knock.v,fatality.n,stick.v,assassination.n,insertion.n,convert.v,lay.v,sign.v,communicate.v,lean.v,student.n,speech.n,lodge.v,wrest.v,pack.v,dismiss.v,suffocate.v,patricide.n,park.v,smother.v,bloodshed.n,pile.v,hit.v,fatal.a,place.v,infanticide.n,placement.n,slaughter.v,beheading.n,plant.v,massacre.v,position.v,smothering.n,rest.v,professor.n,fratricide.n,behead.v,set.v,massacre.n,situate.v,honk.v,ringer.n,write up.v,spank.v,jot.v,vaporize.v,peep.v,issue.v,refresh.v,peel.v,compose.v,generate.v,speak.v,sound.v,jot down.v,level.v,invigorate.v,purge.v,wake up.v,raze.v,yield.v,dismantlement.n,issuance.n,collar.v,obliterate.v,destroy.v,breathe new life.v,nab.v,apprehend.v,draft.v,tinkle.v,unmake.v,confinement.n,shot.n,revitalize.v,breathe fresh life.v,cop.v,clash.v,imprison.v,reinvigorate.v,play.v,resuscitate.v,bust.v,beep.v,make.v,book.v,detain.v,write.v,apprehension.n,devastation.n,annihilate.v,resuscitation.n,obliteration.n,release.n,toll.v,reinvigoration.n,rid.v,desiccation.n,rejuvenation.n,therapist.n,revival.n,constraint.n,demolish.v,demolition.n,trumpet.v,round up.v,production.n,itch.v,dry up.v,marinate.v,revitalization.n,divest.v,amass.v,dismantle.v,dehumidification.n,devastate.v,formation.n,destruction.n,reawaken.v,shoot.v,set free.v,run.v,shoot.v,soak.v,manage.v,bust.n,lay waste.v,steep.v,arrest.n,wake.v,discharge.v,toot.v,blow up.v,renew.v,annihilation.n,disembowel.v,scratch.v,tickle.v,paddle.v,operate.v,dry off.v
Being_named	102	general.n,superintendent.n,monarch.n,stage name.n,premier.n,pseudonym.n,soubriquet.n,prince.n,surname.n,patronymic.n,imam.n,trivial name.n,empress.n,go.v,aunt.n,misnomer.n,principal.n,uncle.n,commissioner.n,full name.n,supervisor.n,president.n,sister.n,legislator.n,officer.n,emperor.n,pet name.n,commander.n,also known as.a,nameless.a,cognomen.n,shah.n,king.n,kaiser.n,tsar.n,named.a,chief.n,caconym.n,father.n,first name.n,congressman.n,codenamed.a,captain.n,executive.n,nom de guerre.n,chairman.n,metronymic.n,secretary.n,director.n,aka.a,sultan.n,dr.n,representative.n,mr.n,entitled.a,allonym.n,governor.n,praenomen.n,headmaster.n,so-called.a,maharaja.n,nee.a,chairperson.n,sheik.n,known.a,mogul.n,by-name.n,queen.n,maiden name.n,forename.n,last name.n,ms.n,brand name.n,mayor.n,designated.a,Christian name.n,duchess.n,mother.n,official.n,married name.n,leader.n,miss.n,child.n,alias.n,name.n,brother.n,codename.n,bishop.n,eponym.n,agnomen.n,minister.n,nickname.n,nom de plume.n,moniker.n,congresswoman.n,family name.n,pen name.n,doctor.n,mrs.n,given name.n,cousin.n,middle name.n
Out_of_existence	4	history.n,gone.a,a thing of the past.n,toast.n
Visitor_arrival	3	pop in.v,stop in.v,drop in.v
Vocalizations	3	squeak.n,howl.n,cry.n
Assigned_location	4	post.n,station.v,station.n,place.n
Perception_body	18	ache.v,chafe.v,tingle.v,spin.v,hurt.v,smart.v,hum.v,prickle.v,pain.v,goosebump.n,sting.v,ail.v,pain.n,itch.v,tickle.v,burn.v,discomfort.n,be killing.v
Economy	2	economic.a,economy.n
Breaking_apart	8	break apart.v,break down.v,break.v,crumble.v,shatter.v,splinter.v,snap.v,fragment.v
People_by_vocation	146	spy.n,dancer.n,agent.n,chef.n,reporter.n,tailor.n,veterinarian.n,attorney.n,teacher.n,therapist.n,scholar.n,programmer.n,businessperson.n,correspondent.n,architect.n,speculator.n,senator.n,oilman.n,cook.n,clerk.n,judge.n,singer.n,spokesman.n,driver.n,archaeologist.n,policeman.n,professional.a,flight attendant.n,journalist.n,web developer.n,server.n,ophthalmologist.n,painter.n,farmer.n,mechanic.n,bodyguard.n,mole.n,pilot.n,plain-clothes man.n,bartender.n,police officer.n,magistrate.n,anesthesiologist.n,sailor.n,police.n,radiologist.n,soldier.n,fire fighter.n,service member.n,consultant.n,athlete.n,radiation oncologist.n,marine.n,firefighter.n,airman.n,attendant.n,troop.n,software developer.n,surgeon.n,saleswoman.n,cardiologist.n,homemaker.n,manservant.n,private eye.n,linguist.n,mathematician.n,commando.n,psychiatrist.n,family practitioner.n,sociologist.n,anthropologist.n,physician.n,physicist.n,player.n,chemist.n,biologist.n,psychologist.n,officer.n,artist.n,doctor.n,spokeswoman.n,musician.n,gardener.n,spokesperson.n,writer.n,actor.n,technician.n,neuroscientist.n,neurologist.n,politician.n,trader.n,actor.n,rheumatologist.n,obstetrician.n,producer.n,oncologist.n,director.n,musician.n,orthopaedist.n,designer.n,pediatrician.n,gynaecologist.n,editor.n,proctologist.n,psychiatrist.n,student.n,psychoanalyst.n,allergist.n,salesperson.n,servant.n,gerontologist.n,nephrologist.n,toxicologist.n,chiropractor.n,double agent.n,engineer.n,manager.n,endocrinologist.n,spokesman.n,professor.n,homeopathist.n,spokesperson.n,representative.n,spokeswoman.n,actress.n,carpenter.n,scientist.n,waiter.n,immunologist.n,speech therapist.n,lawyer.n,salesman.n,researcher.n,waitress.n,maid.n,receptionist.n,nurse.n,dermatologist.n,actress.n,psychotherapist.n,midwife.n,gastroenterologist.n,shaman.n,urologist.n,psychologist.n,neonatologist.n
Commerce_scenario	6	goods.n,commerce.n,price.n,supply side.n,trafficker.n,merchandise.n
Nuclear_process	12	fissile.a,thermonuclear.a,fusable.a,fuse.v,radioactive.a,decay.n,radioactivity.n,fission.n,fission.v,nuclear.a,fusion.n,decay.v
Prominence	7	eye-catching.a,quiet.a,salient.a,conspicuous.a,flashy.a,prominent.a,blatant.a
Judicial_body	4	tribunal.n,judicial.a,judiciary.n,court.n
Activity	41	barbecue.v,deep fry.v,singe.v,steaming.n,roasting.n,steep.v,toasting.n,melt.v,microwave.v,sear.v,saute.v,scorch.v,poach.v,stewing.n,baking.n,boil.v,blanch.v,braise.v,char.v,grilling.n,broiling.n,parboil.v,coddle.v,simmer.v,broil.v,bake.v,brown.v,scald.v,grill.v,stew.v,roast.v,boiling.n,fry.v,plank.v,cook.v,frying.n,melting.n,cooking.n,steam.v,simmering.n,toast.v
People_by_military_specialty	4	sniper.n,signaller.n,infantryman.n,gunner.n
Simple_naming	2	term.v,call.v
Topic	16	regarding.prep,theme.n,concern.v,treat.v,regard.v,subject.n,concerning.prep,cover.v,address.v,on.prep,refer.v,discuss.v,about.prep,dwell (on).v,regard.n,topic.n
Atonement	7	expiatory.a,expiator.n,atonement.n,expiate.v,expiation.n,atone.v,atoner.n
Opinion	15	belief.n,feel.v,subscribe.v,figure.v,believe.v,take.n,sense.n,suppose.v,subscriber.n,opinion.n,hold.v,view.n,expect.v,believer.n,think.v
