cid	size	cluster
Change_position_on_a_scale	34	diminish.v, explode.v, soar.v, decrease.v, swell.v, fluctuate.v, plummet.v, triple.v, rise.v, swing.v, dip.v, move.v, contract.v, grow.v, gain.v, mushroom.v, increase.v, dwindle.v, drop.v, double.v, shift.v, advance.v, lower.v, edge.v, slide.v, fall.v, tumble.v, reach.v, rocket.v, skyrocket.v, decline.v, jump.v, climb.v, balloon.v
Lively_place	3	bustle.v, hum.v, buzz.v
Posture	15	hunch.v, lean.v, stoop.v, bend.v, stand.v, huddle.v, squat.v, lie.v, shrink.v, sit.v, cower.v, kneel.v, slouch.v, crouch.v, sprawl.v
Taking_time	1	take.v
Renting	4	hire.v, rent.v, lease.v, charter.v
Employing	2	employ.v, commission.v
Activity_prepare	7	compose.v, rally.v, get ready.v, prepare.v, fix.v, gear up.v, ready.v
Amalgamation	17	blend.v, band together.v, come together.v, mix.v, merge.v, consolidate.v, fuse.v, unite.v, coalesce.v, combine.v, join.v, jumble.v, meld.v, intermix.v, amalgamate.v, unify.v, commingle.v
Losing_track_of_perceiver	1	lose.v
Breaking_apart	8	break down.v, fragment.v, splinter.v, snap.v, break apart.v, shatter.v, break.v, crumble.v
Run_risk	2	risk.v, wager.v
Accomplishment	4	accomplish.v, effect.v, achieve.v, bring about.v
Cause_to_rot	2	putrefy.v, rot.v
Text_creation	26	dash off.v, list.v, jot down.v, pen.v, author.v, write.v, compose.v, jot.v, say.v, speak.v, utter.v, write up.v, write down.v, type out.v, write in.v, write out.v, print.v, type.v, type up.v, sign.v, type in.v, print out.v, print up.v, get down.v, draft.v, chronicle.v
Have_as_requirement	4	take.v, demand.v, need.v, require.v
Possibility	4	can.v, could.v, may.v, might.v
Firing	11	sack.v, discharge.v, terminate.v, let go.v, downsize.v, lay off.v, give the boot.v, can.v, dismiss.v, fire.v, shitcan.v
Gesture	7	wave.v, signal.v, nod.v, gesture.v, gesticulate.v, beckon.v, motion.v
Holding_off_on	2	wait.v, hold off.v
Deny_or_grant_permission	13	okay.v, forbid.v, prohibit.v, suffer.v, authorize.v, disallow.v, clear.v, permit.v, approve.v, restrict.v, greenlight.v, outlaw.v, sanction [allow].v
Communication_noise	58	splutter.v, sputter.v, squawk.v, chirp.v, cackle.v, chirrup.v, squeak.v, squeal.v, chuckle.v, thunder.v, cluck.v, titter.v, coo.v, trill.v, croak.v, burble.v, trumpet.v, croon.v, twitter.v, bleat.v, crow.v, wail.v, cry.v, warble.v, drone.v, wheeze.v, gasp.v, whimper.v, grate.v, whine.v, groan.v, whoop.v, growl.v, yell.v, grunt.v, yelp.v, gurgle.v, hiss.v, hoot.v, bray.v, bark.v, howl.v, moan.v, murmur.v, purr.v, rap.v, rasp.v, rattle.v, roar.v, rumble.v, scream.v, bellow.v, screech.v, shriek.v, shrill.v, snarl.v, bawl.v, snort.v
Surrendering_possession	4	give up.v, yield.v, surrender.v, relinquish.v
Renting_out	2	rent.v, lease.v
Friction	6	scrape.v, grate.v, scrunch.v, screech.v, rasp.v, squeal.v
Recording	4	chronicle.v, register.v, document.v, record.v
Traversing	12	pass.v, crisscross.v, cross.v, ascend.v, descend.v, skirt.v, jump.v, hop.v, mount.v, leap.v, traverse.v, circle.v
Undergo_change	7	veer.v, shift.v, swing.v, go.v, turn.v, plummet.v, change.v
Request_entity	1	order.v
Travel	5	travel.v, tour.v, voyage.v, commute.v, journey.v
Communication_manner	24	blabber.v, babble.v, bluster.v, chant.v, chatter.v, drawl.v, gabble.v, gibber.v, jabber.v, lisp.v, mouth.v, mumble.v, mutter.v, natter.v, prattle.v, rant.v, rave.v, shout.v, simper.v, sing.v, slur.v, stammer.v, stutter.v, whisper.v
Removing	41	take.v, withdraw.v, unload.v, expurgate.v, wash.v, shave.v, confiscate.v, rinse.v, clear.v, roust.v, discard.v, dust.v, dislodge.v, drain.v, scrape.v, eject.v, rip.v, tear.v, eliminate.v, cut.v, file.v, empty.v, disgorge.v, evacuate.v, flush.v, weed.v, evict.v, amputate.v, excise.v, expel.v, expunge.v, extract.v, oust.v, pluck.v, prise.v, purge.v, remove.v, skim.v, snatch.v, strip.v, swipe.v
Rest	1	complement.v
Appointing	6	tap.v, finger.v, designate.v, accredit.v, appoint.v, name.v
Hiring	9	sign up.v, contract.v, take on.v, hire.v, commission.v, retain.v, sign.v, subcontract.v, sign on.v
Preserving	8	salt.v, mummify.v, embalm.v, cure.v, preserve.v, can.v, dry.v, pickle.v
Talking_into	5	influence.v, lead.v, talk.v, incite.v, induce.v
Hair_configuration	1	curl.v
Board_vehicle	8	hop.v, get.v, emplane.v, embark.v, board.v, embus.v, mount.v, entrain.v
Dispersal	9	distribute.v, pass on.v, scatter.v, dissolve.v, sprinkle.v, spread.v, strew.v, disperse.v, disseminate.v
Satisfying	1	satisfy.v
Communication_means	11	phone.v, telex.v, pdf.v, fax.v, cable.v, radio.v, telephone.v, telegraph.v, semaphore.v, wire.v, call.v
Installing	1	install.v
Transition_to_a_quality	1	go.v
Prohibiting_or_licensing	10	prohibit.v, sanction.v, outlaw.v, permit.v, entitle.v, allow.v, proscribe.v, forbid.v, ban.v, bar.v
Make_cognitive_connection	3	connect.v, link.v, tie.v
Dimension	2	weigh.v, measure.v
Avoiding	15	duck.v, eschew.v, shun.v, evade.v, forgo.v, dodge.v, shrink from.v, desist.v, skirt.v, keep away.v, stay away.v, avoid.v, escape.v, sidestep.v, shirk.v
Expectation	6	await.v, expect.v, predict.v, anticipate.v, wait.v, foresee.v
Undergoing	2	undergo.v, experience.v
Locating	2	find.v, locate.v
Getting_underway	4	get under way.v, hit the road.v, head out.v, get going.v
Simultaneity	2	coincide.v, co-occur.v
Taking_captive	3	capture.v, secure.v, take captive.v
Work	3	work.v, bang away.v, plug away.v
Exchange	5	swap.v, switch.v, exchange.v, change.v, trade.v
Regard	4	find.v, regard.v, think.v, appreciate.v
Meet_specifications	2	meet.v, fulfill.v
Come_together	11	congregate.v, gather.v, throng.v, convene.v, amass.v, come together.v, band together.v, meet.v, gang together.v, assemble.v, band.v
Court_examination	2	cross-examine.v, examine.v
Reasoning	6	reason.v, demonstrate.v, prove.v, disprove.v, argue.v, show.v
Earnings_and_losses	5	pull.v, earn.v, net.v, make.v, lose.v
Defending	2	hold.v, defend.v
Remembering_to_do	2	remember.v, forget.v
Relative_time	5	follow.v, come on heels.v, precede.v, succeed.v, predate.v
Likelihood	6	might.v, may.v, would.v, tend.v, must.v, can.v
Receiving	2	accept.v, receive.v
Go_into_shape	5	curl.v, fold.v, fold [protein].v, coil.v, twist.v
Aging	2	age.v, mature.v
Vehicle_departure_initial_stage	3	cast off.v, lift off.v, take off.v
Arranging	7	format.v, arrange.v, justify.v, deploy.v, order.v, array.v, set up.v
Rising_to_a_challenge	2	rise to the occasion.v, rise.v
Cause_motion	42	wrest.v, cast.v, slam.v, hurl.v, thrust.v, impel.v, hit.v, push.v, propel.v, drag.v, haul.v, nudge.v, tug.v, draw.v, jerk.v, launch.v, scoot.v, wrench.v, attract.v, transfer.v, punt.v, rake.v, roll.v, drive.v, shove.v, drop.v, toss.v, yank.v, pull.v, slide.v, move.v, lift.v, pitch.v, force.v, throw.v, knock.v, stick.v, chuck.v, run.v, fling.v, press.v, catapult.v
Robbery	7	mug.v, ransack.v, rob blind.v, rob.v, hold up.v, stick up.v, rifle.v
Hearsay	2	hear.v, read.v
Needing	2	require.v, need.v
Render_nonfunctional	6	disable.v, break.v, incapacitate.v, total.v, hose.v, knock out.v
State_continue	3	remain.v, stay.v, rest.v
Becoming_separated	3	split.v, divide.v, separate.v
Evoking	9	bring to mind.v, remind.v, evoke.v, recall.v, call to mind.v, put in mind (of).v, conjure.v, suggest.v, ring a bell.v
Verdict	5	pronounce.v, convict.v, acquit.v, find.v, clear.v
Sending	14	express.v, route.v, export.v, post.v, send.v, fax.v, refer.v, mail.v, dispatch.v, telex.v, ship.v, wire.v, forward.v, barge.v
Putting_out_fire	8	put out.v, smother.v, blow out.v, douse.v, quench.v, stamp out.v, extinguish.v, snuff out.v
Change_of_temperature	7	refrigerate.v, reheat.v, warm.v, cool off.v, cool.v, chill.v, heat.v
Similarity	5	resemble.v, take after.v, differ.v, mimic.v, vary.v
Detaining	3	hold.v, detain.v, intern.v
Emanating	7	exude.v, radiate.v, excrete.v, discharge.v, secrete.v, emanate.v, issue.v
Containing	4	hold.v, contain.v, store.v, house.v
Food_gathering	4	gather.v, harvest.v, pick.v, bring in.v
Rotting	8	fester.v, moulder.v, perish.v, spoil.v, rot.v, putrefy.v, decompose.v, decay.v
Spatial_contact	2	contact.v, touch.v
Piracy	3	carjack.v, hijack.v, pirate.v
Surrounding	5	edge.v, straddle.v, rim.v, surround.v, ring.v
Processing_materials	11	weaponize.v, treat.v, etch.v, stain.v, reprocess.v, dye.v, process.v, enrich.v, develop.v, galvanize.v, spin.v
Bail_decision	3	set.v, fix.v, order.v
Catching_fire	5	catch.v, combust.v, start.v, break out.v, catch fire.v
Intentionally_act	7	conduct.v, do.v, engage.v, execute.v, act.v, perform.v, carry out.v
Response	4	meet.v, respond.v, act (on).v, react.v
Change_event_time	11	defer.v, delay.v, hold up.v, advance.v, postpone.v, move up.v, move back.v, reschedule.v, put off.v, hold over.v, put over.v
Try_defendant	1	try.v
Function	1	serve.v
Intercepting	1	intercept.v
Turning_out	3	prove.v, end up.v, turn out.v
Knot_creation	1	tie.v
Sentencing	4	send up.v, sentence.v, condemn.v, order.v
Waiting	2	bide its time.v, wait.v
Giving	21	hand.v, donate.v, pass out.v, advance.v, confer (upon).v, hand over.v, fob off.v, pass.v, give out.v, foist.v, hand out.v, bequeath.v, gift.v, endow.v, leave.v, give.v, will.v, volunteer.v, hand in.v, contribute.v, treat.v
Hit_or_miss	2	hit.v, miss.v
Amounting_to	3	number.v, total.v, amount.v
Invading	2	invade.v, overrun.v
Creating	8	assemble.v, produce.v, make.v, generate.v, yield.v, issue.v, form.v, create.v
Chemical-sense_description	3	reek.v, smell.v, stink.v
Be_subset_of	2	count.v, number.v
Word_relations	1	collocate.v
Visiting	2	visit.v, revisit.v
Attempt_suasion	16	enjoin.v, advocate.v, press.v, badger.v, beg.v, advise.v, pressure.v, recommend.v, lobby.v, prevail.v, wheedle.v, exhort.v, urge.v, suggest.v, cajole.v, admonish.v
Perception_body	15	pain.v, itch.v, hum.v, prickle.v, burn.v, spin.v, smart.v, be killing.v, sting.v, tickle.v, tingle.v, hurt.v, ail.v, chafe.v, ache.v
Beat_opponent	7	beat.v, rout.v, defeat.v, demolish.v, prevail.v, trounce.v, upend.v
Touring	4	sight-see.v, do.v, see.v, tour.v
Motion_directional	10	drop.v, slant.v, plummet.v, fall.v, topple.v, plunge.v, descend.v, rise.v, dip.v, angle.v
Simple_naming	2	call.v, term.v
Cause_impact	23	clink.v, click.v, rattle.v, rustle.v, slam.v, thump.v, jab.v, collide.v, rap.v, smack.v, thud.v, graze.v, crash.v, plow.v, run.v, bang.v, hit.v, slap.v, strike.v, clatter.v, clash.v, ram.v, clang.v
Breaking_off	3	break.v, chip.v, snap.v
Corroding	3	rust.v, oxidize.v, corrode.v
Inspecting	7	inspect.v, proof-read.v, examine.v, check.v, frisk.v, pat down.v, double-check.v
Event	5	take place.v, occur.v, go on.v, transpire.v, happen.v
Thwarting	11	derail.v, thwart.v, stymie.v, hamstring.v, counter.v, forestall.v, preclude.v, foil.v, frustrate.v, stop.v, prevent.v
Forming_relationships	10	leave.v, marry.v, marry (into).v, woo.v, befriend.v, separate.v, betroth.v, tie the knot.v, wed.v, divorce.v
Expertise	1	excel.v
Commerce_pay	3	pay.v, shell out.v, disburse.v
Have_as_translation_equivalent	1	translate.v
Cogitation	13	think.v, meditate.v, wonder.v, dwell.v, mull over.v, brood.v, consider.v, muse.v, reflect.v, ruminate.v, contemplate.v, ponder.v, deliberate.v
Political_actions	1	strike.v
Impact	36	slam.v, plop.v, plunk.v, slap.v, thump.v, chatter.v, clash.v, click.v, patter.v, plash.v, rap.v, tinkle.v, clatter.v, clink.v, hiss.v, rattle.v, touch.v, graze.v, brush.v, impact.v, knock.v, hit.v, impinge.v, run.v, smack.v, crash.v, bump.v, clang.v, plow.v, bang.v, collide.v, smash.v, strike.v, thud.v, clunk.v, crunch.v
Contacting	22	radio.v, telegraph.v, call in.v, get through.v, phone in.v, call up.v, e-mail.v, call.v, phone.v, write in.v, contact.v, ring.v, get in touch.v, ring up.v, reach.v, write.v, telephone.v, mail.v, telex.v, fax.v, cable.v, page.v
Judgment_direct_address	18	tell off.v, harangue.v, rebuke.v, compliment.v, reprove.v, berate.v, upbraid.v, reprimand.v, chide.v, scold.v, congratulate.v, admonish.v, jeer.v, give shit.v, chastise.v, thank.v, take to task.v, reproach.v
Activity_pause	4	suspend.v, adjourn.v, take break.v, freeze.v
Spelling_and_pronouncing	6	say.v, mispronounce.v, spell.v, misspell.v, write.v, pronounce.v
Execute_plan	2	institute.v, implement.v
Supporting	3	support.v, bolster.v, buttress.v
Hunting_success_or_failure	2	bag.v, catch.v
Sufficiency	2	serve.v, suffice.v
Triggering	2	trigger.v, set off.v
Others_situation_as_stimulus	4	feel (for).v, sympathize.v, pity.v, empathize.v
Self_motion	134	scuttle.v, swing.v, edge.v, shuffle.v, rove.v, skip.v, skulk.v, advance.v, slalom.v, file.v, take to the air.v, sleepwalk.v, rip.v, slink.v, slither.v, slip.v, slouch.v, slog.v, sneak.v, press.v, spring.v, shrink.v, bound.v, burrow.v, sprint.v, bustle.v, stagger.v, barge.v, canter.v, steal.v, whisk.v, caper.v, clamber.v, step.v, climb.v, stomp.v, clomp.v, straggle.v, crawl.v, stride.v, creep.v, dance.v, stroll.v, dart.v, strut.v, stumble.v, dash.v, swagger.v, flit.v, flounce.v, swim.v, frolic.v, tiptoe.v, gallivant.v, toddle.v, gambol.v, totter.v, hasten.v, traipse.v, tramp.v, tread.v, hike.v, trek.v, hitchhike.v, back.v, hobble.v, trip.v, hop.v, troop.v, hurry.v, trot.v, amble.v, trudge.v, jog.v, trundle.v, bop.v, jump.v, vault.v, leap.v, waddle.v, limp.v, wade.v, lope.v, lumber.v, waltz.v, lunge.v, wander.v, lurch.v, wriggle.v, slosh.v, march.v, slop.v, meander.v, skim.v, mince.v, goose-step.v, mosey.v, pace.v, proceed.v, pad.v, sidle.v, parade.v, fly.v, plod.v, head.v, pounce.v, repair.v, prance.v, make.v, promenade.v, stalk.v, prowl.v, venture.v, roam.v, storm.v, romp.v, make a beeline.v, run.v, walk.v, rush.v, drive.v, sashay.v, sail.v, saunter.v, coast.v, scamper.v, cruise.v, scoot.v, tack.v, taxi.v, scramble.v, shoulder.v, scurry.v, nance.v
Control	4	command.v, control.v, determine.v, regulate.v
Working_a_post	3	work.v, man.v, staff.v
Inclusion	5	exclude.v, contain.v, incorporate.v, have.v, include.v
Cause_to_make_noise	15	toot.v, clang.v, honk.v, blare.v, clash.v, creak.v, blast.v, peep.v, tinkle.v, ring.v, trumpet.v, toll.v, play.v, sound.v, beep.v
Importing	1	import.v
Religious_belief	1	believe.v
Complaining	11	lament.v, whinge.v, piss and moan.v, gripe.v, grouse.v, complain.v, belly-ache.v, grumble.v, moan.v, whine.v, bitch.v
Downing	2	down.v, shoot down.v
Experiencer_focus	26	dislike.v, like.v, empathize.v, despise.v, enjoy.v, hate.v, grieve.v, luxuriate.v, fear.v, delight.v, savour.v, dread.v, loathe.v, detest.v, abominate.v, love.v, envy.v, abhor.v, adore.v, regret.v, rue.v, resent.v, despair.v, mourn.v, relish.v, pity.v
Evidence	25	assure.v, confirm.v, verify.v, rule out.v, prove.v, demonstrate.v, tell.v, evince.v, reveal.v, show.v, substantiate.v, imply.v, testify.v, evidence.v, disprove.v, contradict.v, argue.v, suggest.v, indicate.v, mean.v, corroborate.v, attest.v, point (to).v, support.v, illustrate.v
Performers_and_roles	9	feature.v, appear.v, star.v, co-star (in).v, co-star.v, act.v, be.v, star (in).v, play.v
Seeking	17	search.v, pan.v, palpate.v, forage.v, look.v, pat down.v, hunt.v, listen.v, rummage.v, fumble.v, grope.v, dig.v, nose.v, feel.v, sniff.v, seek.v, watch.v
Exclude_member	3	expel.v, excommunicate.v, exclude.v
Agree_or_refuse_to_act	3	decline.v, agree.v, refuse.v
Supply	10	issue.v, provide.v, provision.v, outfit.v, fuel.v, supply.v, furnish.v, fix up.v, afford.v, equip.v
Adducing	4	point.v, adduce.v, cite.v, name.v
Relating_concepts	5	relate.v, associate.v, connect.v, tie.v, link.v
Borrowing	1	borrow.v
Emotion_heat	8	fume.v, burn.v, seethe.v, stew.v, boil.v, chafe.v, simmer.v, smoulder.v
Attempt	4	undertake.v, try.v, endeavor.v, attempt.v
Opinion	8	hold.v, suppose.v, think.v, feel.v, figure.v, believe.v, subscribe.v, expect.v
Origin	3	come from.v, date.v, originate.v
Emphasizing	5	focus.v, emphasize.v, stress.v, accentuate.v, prioritize.v
Questioning	7	inquire.v, quiz.v, interrogate.v, ask.v, question.v, grill.v, query.v
Wearing	6	have got on.v, wear.v, got on.v, bare.v, sport.v, have on.v
Being_employed	5	work.v, farm (out).v, temp.v, clerk.v, subcontract.v
Translating	1	translate.v
Scouring	7	ransack.v, rifle.v, rummage.v, scour.v, comb.v, sweep.v, sift.v
Emotion_directed	1	sympathize.v
Coming_up_with	13	contrive.v, invent.v, concoct.v, conceive.v, improvise.v, hatch.v, find.v, formulate.v, design.v, think up.v, cook up.v, devise.v, come up.v
Choosing	6	choose.v, select.v, opt.v, elect.v, pick.v, settle on.v
Setting_fire	9	kindle.v, spark.v, catch on fire.v, start.v, ignite.v, set on fire.v, light.v, set fire.v, torch.v
Being_born	2	born.v, come into the world.v
Becoming_aware	27	happen (on).v, find (oneself).v, tell.v, note.v, perceive.v, learn.v, observe.v, find.v, chance (across).v, find out.v, encounter.v, detect.v, come (across).v, come (upon).v, spot.v, chance (on).v, fall (on).v, discern.v, register.v, descry.v, pick up.v, discover.v, locate.v, recognize.v, espy.v, notice.v, spy out.v
Ontogeny	2	grow.v, develop.v
Getting_triggered	2	trigger.v, go off.v
Ratification	1	ratify.v
Daring	5	dare.v, chance.v, risk.v, hazard.v, venture.v
Attending	2	attend.v, go (to).v
Ride_vehicle	10	taxi.v, ride.v, take.v, bus.v, sail.v, jet.v, cruise.v, fly.v, hitchhike.v, coast.v
Serving_in_capacity	1	serve.v
Intentionally_affect	3	do.v, do what (to/with).v, do something (to/with).v
Claim_ownership	2	claim.v, call.v
Social_event	1	host.v
Successfully_communicate_message	3	convey.v, get through.v, get across.v
Create_physical_artwork	5	draw.v, take [picture].v, paint.v, cast.v, sculpt.v
Abusing	3	abuse.v, maltreat.v, batter.v
Attempt_means	1	try.v
Operating_a_system	3	manage.v, run.v, operate.v
Topic	8	cover.v, refer.v, regard.v, concern.v, dwell (on).v, discuss.v, address.v, treat.v
Departing	10	escape.v, vamoose.v, vanish.v, skedaddle.v, depart.v, exit.v, decamp.v, leave.v, emerge.v, disappear.v
Medical_conditions	1	develop.v
Adopt_selection	3	embrace.v, adopt.v, assume.v
Dodging	2	sidestep.v, dodge.v
Fear	1	live in fear.v
Perception_active	26	gape.v, gawk.v, goggle.v, peek.v, peep.v, feel.v, peer.v, savour.v, smell.v, sniff.v, spy.v, stare.v, glance.v, listen.v, taste.v, attend.v, view.v, gaze.v, look.v, watch.v, squint.v, eavesdrop.v, observe.v, admire.v, palpate.v, eye.v
Giving_birth	18	spawn.v, propagate.v, bring forth.v, beget.v, get.v, father.v, lay.v, have.v, whelp.v, birth.v, sire.v, kid.v, bear.v, drop.v, generate.v, carry to term.v, calve.v, mother.v
Manipulate_into_doing	16	bully.v, manipulate.v, hustle.v, cheat.v, fool.v, harass.v, cajole.v, con.v, trick.v, flatter.v, badger.v, blackmail.v, dupe.v, lure.v, deceive.v, defraud.v
Communication	6	say.v, indicate.v, signal.v, share.v, communicate.v, convey.v
Hunting	3	seal.v, fish.v, hunt.v
Tasting	2	taste.v, try.v
Undressing	10	remove.v, slip.v, shed.v, take off.v, throw off.v, peel off.v, kick off.v, strip off.v, doff.v, pull off.v
Get_a_job	2	hire on.v, sign on.v
Cure	10	cure.v, palliate.v, alleviate.v, treat.v, resuscitate.v, remedy.v, ease.v, heal.v, nurse.v, rehabilitate.v
Convey_importance	4	underscore.v, stress.v, underline.v, emphasize.v
Detaching	10	detach.v, unhitch.v, unmoor.v, unfasten.v, unchain.v, untie.v, decouple.v, undo.v, unhinge.v, unhook.v
Cause_change_of_strength	5	fortify.v, reinforce.v, strengthen.v, weaken.v, beef up.v
Fleeing	3	bolt.v, run away.v, flee.v
Make_compromise	2	meet half-way.v, compromise.v
Becoming	2	become.v, turn.v
Cause_expansion	15	compress.v, lengthen.v, condense.v, shrink.v, magnify.v, swell.v, enlarge.v, widen.v, narrow.v, grow.v, expand.v, blow up.v, inflate.v, stretch.v, dilate.v
Subversion	4	undercut.v, subvert.v, sabotage.v, undermine.v
Cause_to_be_sharp	3	sharpen.v, dull.v, blunt.v
Cause_to_experience	5	torment.v, divert.v, terrorize.v, amuse.v, entertain.v
Kidnapping	5	shanghai.v, nab.v, snatch.v, abduct.v, kidnap.v
Exchange_currency	3	exchange.v, change.v, convert.v
Deciding	3	determine.v, decide.v, rule out.v
Releasing	3	release.v, set free.v, let go.v
Experience_bodily_harm	19	injure.v, abrade.v, hit.v, break.v, graze.v, hurt.v, jam.v, bruise.v, strain.v, scrape.v, sprain.v, stub.v, pull.v, sunburn.v, tear.v, twist.v, cut.v, burn.v, smack.v
Differentiation	8	differentiate.v, know.v, sort.v, tell from.v, separate.v, discriminate.v, tell apart.v, distinguish.v
Evading	6	get away.v, flee.v, give the slip.v, elude.v, evade.v, skip town.v
Change_event_duration	8	extend.v, cut short.v, shorten.v, slow.v, protract.v, drag out.v, prolong.v, abbreviate.v
Perception_experience	11	experience.v, feel.v, taste.v, overhear.v, detect.v, see.v, perceive.v, hear.v, sense.v, witness.v, smell.v
Process_continue	5	go on.v, drag on.v, continue.v, persist.v, proceed.v
Imprisonment	4	jail.v, incarcerate.v, put away.v, imprison.v
Endangering	3	imperil.v, jeopardise.v, endanger.v
Assemble	3	convene.v, assemble.v, meet.v
Eventive_cognizer_affecting	2	convince.v, decide.v
Compatibility	14	square.v, go.v, accord.v, jibe.v, comport.v, agree.v, fly in the face of.v, rhyme.v, harmonize.v, dovetail.v, match.v, cohere.v, clash.v, conflict.v
Being_located	4	sit.v, lie.v, stand.v, find.v
Cause_change_of_phase	10	solidify.v, freeze.v, melt.v, flux.v, defrost.v, liquefy.v, thaw.v, evaporate.v, unfreeze.v, boil.v
Referring_by_name	3	refer.v, call.v, address.v
Undergo_transformation	7	transubstantiate.v, transform.v, transition.v, metamorphose.v, transmute.v, convert.v, transmogrify.v
Nuclear_process	3	decay.v, fission.v, fuse.v
Import_export_scenario	1	transship.v
Corroding_caused	4	tarnish.v, oxidize.v, rust.v, corrode.v
Make_agreement_on_action	2	settle.v, agree.v
Reporting	8	rat out.v, inform.v, tell (on).v, rat.v, snitch.v, peach.v, fink.v, report.v
Examination	2	examine.v, test.v
Bungling	24	botch.v, fuck up.v, foozle.v, screw up.v, blow it.v, bumble.v, bungle.v, flounder.v, founder.v, stumble.v, bollix.v, bollix up.v, botch up.v, flub.v, blow.v, ball up.v, fluff.v, foul up.v, muck up.v, louse up.v, muff.v, mess up.v, fumble.v, ruin.v
Erasing	5	expunge.v, erase.v, strike.v, kill.v, delete.v
Judgment	22	esteem.v, fault.v, value.v, blame.v, mock.v, respect.v, deify.v, scorn.v, deplore.v, set store.v, stigmatize.v, accuse.v, approve.v, disapprove.v, exalt.v, prize.v, boo.v, applaud.v, disdain.v, revere.v, appreciate.v, admire.v
Becoming_a_member	5	enter.v, sign up.v, enroll.v, join.v, enlist.v
Transition_to_state	3	grow.v, get.v, end up.v
Process_stop	7	cease.v, quit.v, kill.v, discontinue.v, stop.v, shut down.v, desist.v
Cause_to_start	21	kindle.v, instigate.v, motivate.v, prompt.v, stir up.v, stimulate.v, actuate.v, provoke.v, excite.v, trigger.v, generate.v, spark.v, arouse.v, bring about.v, set off.v, engender.v, produce.v, create.v, call forth.v, elicit.v, incite.v
Subsisting	2	live (on).v, subsist.v
Front_for	1	front.v
Dead_or_alive	1	live.v
Getting	8	obtain.v, get.v, score.v, win.v, acquire.v, gain.v, secure.v, procure.v
Change_of_consistency	11	clot.v, coagulate.v, soften.v, congeal.v, harden.v, curdle.v, thicken.v, set.v, indurate.v, thin.v, jell.v
Location_of_light	19	glow.v, sparkle.v, glister.v, glitter.v, glint.v, twinkle.v, scintillate.v, shine.v, gleam.v, flame.v, glimmer.v, illuminate.v, coruscate.v, glisten.v, flicker.v, shimmer.v, light up.v, flash.v, flare.v
Encounter	2	encounter.v, stumble.v
Death	12	drown.v, starve.v, asphyxiate.v, die.v, decease.v, croak.v, suffocate.v, expire.v, pass away.v, perish.v, kick the bucket.v, croak it.v
Giving_in	10	acquiesce.v, submit.v, relent.v, give way.v, fold [to demands].v, yield.v, cave.v, give in.v, capitulate.v, cave in.v
Arraignment	1	arraign.v
Smuggling	1	smuggle.v
Temporary_stay	9	quarter.v, sleep over.v, room.v, guest.v, overnight.v, board.v, lodge.v, stay over.v, stay.v
Request	16	command.v, instruct.v, plead.v, demand.v, request.v, entreat.v, summon.v, ask.v, tell.v, implore.v, order.v, urge.v, beg.v, call.v, beseech.v, invite.v
Corporal_punishment	5	flog.v, cane.v, scourge.v, paddle.v, spank.v
Prevarication	15	deceive.v, shit.v, dissemble.v, mislead.v, tell.v, joke.v, kid.v, fib.v, equivocate.v, hoodwink.v, misrepresent.v, fool.v, lie.v, bullshit.v, prevaricate.v
Suspicion	1	suspect.v
Going_back_on_a_commitment	3	back out.v, renege.v, go back.v
Scheduling	3	arrange.v, set up.v, schedule.v
Sidereal_appearance	2	rise.v, come up.v
Unattributed_information	1	rumor.v
Cause_to_perceive	9	present.v, depict.v, exhibit.v, represent.v, show.v, present[medical].v, demonstrate.v, point.v, bring to attention.v
Feeling	2	feel.v, experience.v
Setting_out	3	set out.v, decamp.v, set off.v
Shopping	1	shop.v
Justifying	5	defend.v, rationalize.v, justify.v, explain.v, account.v
Partiality	4	prefer.v, prejudge.v, favor.v, bias.v
Remembering_experience	5	look back.v, recall.v, reminisce.v, remember.v, forget.v
Fall_asleep	8	konk out.v, faint.v, doze off.v, black out.v, nod off.v, pass out.v, drift off.v, zonk out.v
Light_movement	18	flare.v, glister.v, scintillate.v, glow.v, coruscate.v, glisten.v, flame.v, flicker.v, glitter.v, twinkle.v, glimmer.v, strike.v, flash.v, shine.v, gleam.v, sparkle.v, glint.v, shimmer.v
Grasp	8	apprehend.v, comprehend.v, grasp.v, follow.v, understand.v, get.v, see.v, fathom.v
Manipulation	35	push.v, seize.v, squeeze.v, tug.v, tweak.v, wring.v, yank.v, fumble.v, grope.v, rub.v, grab hold.v, touch.v, lick.v, kiss.v, caress.v, stroke.v, diddle.v, hold.v, tickle.v, handle.v, claw.v, clasp.v, poke.v, clutch.v, finger.v, grab.v, grasp.v, grip.v, knead.v, massage.v, nip.v, nudge.v, paw.v, pinch.v, pull.v
Cognitive_impact	2	strike.v, hit.v
Drop_in_on	3	pop in.v, stop in.v, drop in.v
Wagering	2	bet.v, wager.v
Activity_finish	6	finish.v, wrap up.v, complete.v, conclude.v, tie up.v, graduate.v
Killing	29	euthanize.v, dispatch.v, garrotte.v, crucify.v, decapitate.v, massacre.v, slaughter.v, lynch.v, silence.v, destroy.v, annihilate.v, take out.v, kill.v, assassinate.v, behead.v, do in.v, eliminate.v, exterminate.v, drown.v, liquidate.v, murder.v, slay.v, terminate.v, butcher.v, suffocate.v, smother.v, starve.v, asphyxiate.v, suicide.v
Change_accessibility	4	barricade.v, cordon off.v, block off.v, blockade.v
